Accession	Tolid	Species	# scaffolds	Total scaffold length	Average scaffold length	Scaffold N50	Scaffold auN	Scaffold L50	Largest scaffold	Smallest scaffold	# contigs	Total contig length	Average contig length	Contig N50	Contig auN	Contig L50	Largest contig	Smallest contig	# gaps in scaffolds	Total gap length in scaffolds	Average gap length in scaffolds	Gap N50 in scaffolds	Gap auN in scaffolds	Gap L50 in scaffolds	Largest gap in scaffolds	Smallest gap in scaffolds	Base composition (A:C:G:T)	GC content	# soft-masked bases	# segments	Total segment length	Average segment length	# gaps	# paths
GCA_036426135.1	mEquCab1	Equus caballus	602	2596737506	4313517.45	90406661	92461335	12	192293490	12888	716	2596714706	3626696.52	43557573	45879876.35	21	92504942	12888	114	22800	200	200	200	57	200	200	751523710:546474873:546315987:752400136	42.08	841002756	716	2596714706	3626696.52	114	602
GCA_020826845.1	mDicBic1	Diceros bicornis minor	1075	3005519209	2795831.82	65026825	64736838.9	17	139927959	4838	1290	3004150348	2328798.72	28468213	34296983.82	31	94307620	2118	215	1368861	6366.8	268362	277164.76	2	519385	13	877533753:625261448:624197206:877157941	41.59	1188217428	1290	3004150348	2328798.72	215	1075
GCA_031878705.1	mTapInd1	Tapirus indicus	193	2477445429	12836504.81	129754520	114579177	9	171925268	16747	285	2477427029	8692726.42	56553937	61094853.54	15	154784349	16747	92	18400	200	200	200	46	200	200	728816322:509806687:509975465:728828555	41.16	751167686	285	2477427029	8692726.42	92	193
GCA_004126475.3	mPhyDis1	Phyllostomus discolor	78	2108849533	27036532.47	171742863	158537427.8	6	218430143	16692	962	2093760677	2176466.4	6892556	8009588.48	94	24911458	1	884	15088856	17068.84	86812	172738.69	38	752955	1	603007106:443642975:443678180:603432416	42.38	632782137	962	2093760677	2176466.4	884	78
GCA_038363095.2	mArtLit1	Artibeus lituratus	487	2311617438	4746647.72	160301290	154316646.1	6	245578882	10282	532	2311610138	4345131.84	65515378	83669351.92	11	193238238	10282	45	7300	162.22	200	176.71	19	200	100	665094684:491404698:489869307:665241449	42.45	789283627	532	2311610138	4345131.84	45	487
GCA_038363145.1	mArtInt1	Artibeus intermedius	419	2293600955	5473987.96	160430197	158071934.1	6	245407277	11386	500	2293588855	4587177.71	60026580	63662101.5	14	144957903	8482	81	12100	149.38	200	166.12	31	200	100	661827433:484967054:484802230:661992138	42.28	777922033	500	2293588855	4587177.71	81	419
GCA_039655065.1	mGloMut1	Glossophaga mutica	82	2159908085	26340342.5	169732090	164309583.8	6	228375179	1874	129	2159899785	16743409.19	77027013	99295076.61	8	219477644	1874	47	8300	176.6	200	186.75	21	200	100	624685401:455816715:455400707:623996962	42.19	700221272	129	2159899785	16743409.19	47	82
GCA_022682495.2	mDesRot1	Desmodus rotundus	573	2119704833	3699310.35	160127860	150948553.4	6	212258161	2263	1188	2119447770	1784046.94	6739964	9025476.74	87	34694016	2031	615	257063	417.99	500	452.91	258	500	240	603737590:455468047:455689716:604552417	42.99	680824813	1188	2119447770	1784046.94	615	573
GCA_037157525.1	mMolAlv2	Molossus alvarezi 	326	2478684717	7603327.35	112651663	121526232.3	9	278819313	6205	406	2478672017	6105103.49	63410948	62935424.26	15	142808176	6205	80	12700	158.75	200	174.02	32	200	100	715178319:524339292:524045224:715109182	42.3	993706447	406	2478672017	6105103.49	80	326
GCA_014108415.1	mMolMol1	Molossus molossus	61	2315585093	37960411.36	110665204	116870739.5	9	252436072	16612	410	2268212219	5532224.92	22174888	28048056.69	30	77248698	16612	349	47372874	135738.89	536154	738647.8	24	2208597	13	653607545:480312161:480234207:654058306	42.35	845782122	410	2268212219	5532224.92	349	61
GCA_039880945.1	mMolNig1	Molossus nigricans	366	2567103348	7013943.57	114338547	121500021.4	9	290657952	4125	479	2567086048	5359261.06	74731956	66675531.64	14	136289148	4125	113	17300	153.1	200	169.36	44	200	100	735855425:546780670:546911004:737538949	42.6	1052737677	479	2567086048	5359261.06	113	366
GCA_030848825.1	mTadBra1	Tadarida brasiliensis	148	2283188801	15426951.36	111098925	113472843.5	9	250357659	2116	168	2283182849	13590374.1	86333355	80897063.62	11	131629194	2116	20	5952	297.6	493	364.56	6	500	89	658763129:482554093:482927368:658938259	42.29	812962846	168	2283182849	13590374.1	20	148
GCA_043748645.1	mMopCon1	Mops condylurus	38	2209024231	58132216.61	105478936	113863371.4	9	247113240	17159	126	2208984911	17531626.28	56964224	55998532.26	15	127910798	17159	88	39320	446.82	500	471.43	40	500	240	631023282:473509576:473830140:630621913	42.89	783147616	126	2208984911	17531626.28	88	38
GCA_014108235.1	mMyoMyo1	Myotis myotis	93	2002797876	21535461.03	94448911	123074500.8	7	223369599	15962	631	1973844471	3128121.19	12511134	16950214.48	41	52272724	3543	538	28953405	53816.74	203761	455091.66	32	2158065	13	561685908:425520911:425393252:561244400	43.11	705093877	631	1973844471	3128121.19	538	93
GCA_963259705.1	mMyoDau2	Myotis daubentonii	122	2127824474	17441184.21	102234773	130352320.6	7	234112155	1000	1221	2127604674	1742509.97	3062752	3651405.79	213	11998348	1000	1099	219800	200	200	200	550	200	200	603752525:459651294:459061417:605139438	43.18	812733551	1221	2127604674	1742509.97	1099	122
GCA_964094495.2	mMyoMys1	Myotis mystacinus	526	2081199042	3956652.17	99827109	125724943.5	7	232649590	1000	2092	2080885842	994687.3	2201046	2828212.2	273	9892288	1000	1566	313200	200	200	200	783	200	200	593604841:447626113:447029788:592625100	42.99	769342057	2092	2080885842	994687.3	1566	526
GCA_964212035.2	mMyoNat1	Myotis nattereri	212	2138592721	10087701.51	99996439	128759173.8	7	231240774	1000	437	2138547721	4893701.88	44226636	43937855.94	17	93175039	1000	225	45000	200	200	200	113	200	200	607228796:461415124:461435788:608468013	43.15	812066094	437	2138547721	4893701.88	225	212
GCA_965115925.1	mMyoEma1	Myotis emarginatus	402	2109797427	5248252.31	96276321	123164935.8	7	229996673	1000	1942	2109489427	1086245.84	2127843	2584811.55	301	11061870	1000	1540	308000	200	200	200	770	200	200	606278210:448769589:448836761:605604867	42.55	816662431	1942	2109489427	1086245.84	1540	402
GCA_014108245.1	mPipKuh1	Pipistrellus kuhlii	203	1775705730	8747318.87	80237350	95318578.95	7	197205563	17189	597	1763504239	2953943.45	10591995	14970355.27	43	51030577	17189	394	12201491	30968.25	179538	225322.15	22	823211	13	506432908:375457696:375351633:506262002	42.57	599932165	597	1763504239	2953943.45	394	203
GCA_903992545.1	mPipPip1	Pipistrellus pipistrellus	323	1763439233	5459564.19	94929986	112908310.4	6	203623556	11953	1869	1762969866	943269.06	4446752	5910234.67	108	27664949	2621	1546	469367	303.6	500	416.21	470	501	2	506489804:375063522:375078565:506337975	42.55	598982714	1869	1762969866	943269.06	1546	323
GCA_949987585.1	mPipPyg2.1	Pipistrellus pygmaeus	243	1895125685	7798871.13	89507134	114563616.4	7	212679785	1000	404	1895093668	4690825.91	54047000	49904936.04	14	101953362	1000	161	32017	198.86	200	199.9	81	200	17	543461957:404470433:404157598:543003680	42.67	700624707	404	1895093668	4690825.91	161	243
GCA_964656225.1	mPipNat1	Pipistrellus nathusii	1062	1916223105	1804353.21	90095264	110884657.1	7	212136723	1000	2898	1915855905	661095.9	1635117	1994815.64	352	8873984	1000	1836	367200	200	200	200	918	200	200	554244402:405732050:403826471:552052982	42.26	714868824	2898	1915855905	661095.9	1836	1062
GCA_964339955.1	mPipHan1	Pipistrellus hanaki	141	1892221984	13420014.07	89115682	113799183.4	7	210776044	11000	447	1892187884	4233082.51	48700701	42217536.98	16	90287000	1769	306	34100	111.44	100	120.53	136	200	100	544367315:402203094:402882170:542735305	42.55	713041538	447	1892187884	4233082.51	306	141
GCA_951640355.1	mEptNil1.1	Cnephaeus nilssonii 	207	2064119045	9971589.59	98018206	91875483.98	10	133114493	2000	1630	2063834445	1266156.1	2474537	3027059.43	256	11576827	2000	1423	284600	200	200	200	712	200	200	585120304:446797596:447340426:584576119	43.32	771611635	1630	2063834445	1266156.1	1423	207
GCA_027574615.1	mEptFus1	Eptesicus fuscus	49	2008074896	40981120.33	102817582	93258259.53	9	136610247	17030	124	2008046339	16193922.09	49033427	55539696.31	13	108338125	17030	75	28557	380.76	498	425.57	29	504	84	566832292:436848817:436900314:567464916	43.51	730704253	124	2008046339	16193922.09	75	49
GCA_963455305.1	mPleAur1	Plecotus auritus	65	2163221563	33280331.74	186501726	180702018.7	5	248793850	1000	1302	2162974122	1661270.45	2948753	3591311.8	226	14172224	1000	1237	247441	200.03	200	200.04	619	214	200	615281319:465428947:466277011:615986845	43.08	843851222	1302	2162974122	1661270.45	1237	65
GCA_037038545.1	mRhyNas2	Rhynchonycteris naso	41	2455066473	59879670.07	286991050	255389342.1	4	372384904	16628	109	2455055873	22523448.38	86271459	99862407.87	10	209121287	3412	68	10600	155.88	200	171.7	27	200	100	727106934:500342997:500785752:726820190	40.78	1004816638	109	2455055873	22523448.38	68	41
GCA_027563665.1	mAntPal1	Antrozous pallidus	93	2126460045	22865161.77	114648712	112918401.8	8	213208487	6026	327	2120575367	6484939.96	41887785	43901960.44	17	91428339	1	234	5884678	25148.2	164401	243278	10	758021	1	604181869:456396325:456225750:603771423	43.04	822482615	327	2120575367	6484939.96	234	93
GCA_026230055.1	mCorTow1	Corynorhinus townsendii	391	2104912948	5383409.07	174690156	170484720.7	6	233461832	11533	610	2104891048	3450641.06	23382908	25511732.66	30	70937382	11533	219	21900	100	100	100	110	100	100	601903767:450550033:450532251:601904997	42.81	775728136	610	2104891048	3450641.06	219	391
GCA_963924515.1	mVesMur1	Vespertilio murinus	178	1925577803	10817852.83	186292382	144782491.7	5	219009580	1000	1158	1925381803	1662678.59	3319810	3992159.52	177	15400909	1000	980	196000	200	200	200	490	200	200	543460164:419073798:419330746:543517095	43.54	706126819	1158	1925381803	1662678.59	980	178
GCA_964264875.2	mNycLei1	Nyctalus leisleri	585	2226338041	3805706.05	95320580	111526913	8	231334465	1000	887	2226277641	2509895.87	26125689	31343797.95	23	75910365	1000	302	60400	200	200	200	151	200	200	634474516:479530179:478653712:633619234	43.04	927261733	887	2226277641	2509895.87	302	585
GCA_964146895.2	mMinSch1	Miniopterus schreibersii	186	1850590334	9949410.4	87795433	100270149.3	8	202313579	13000	326	1850562334	5676571.58	28014000	32192266.13	21	83366000	13000	140	28000	200	200	200	70	200	200	531929421:392159448:394474866:531998599	42.51	562459587	326	1850562334	5676571.58	140	186
GCA_036850995.1	mSacLep1	Saccopteryx leptura	167	2576497192	15428126.9	224759591	253588801.2	4	392736510	938	740	2556882759	3455246.97	17812205	22923237	41	75203878	1	573	19614433	34231.12	387202	488753.52	14	1217975	1	743597696:534879543:535029512:743376008	41.84	1074984203	740	2556882759	3455246.97	573	167
GCA_036850765.1	mSacBil1	Saccopteryx bilineata	257	2612326447	10164694.35	300074216	268066483.7	4	408423836	885	725	2579234402	3557564.69	20047694	23388185.63	39	67663810	1	468	33092045	70709.5	711330	938985.43	13	2467699	1	751824455:537877112:537880465:751652370	41.71	1116902591	725	2579234402	3557564.69	468	257
GCA_004115265.3	mRhiFer1	Rhinolophus ferrumequinum	135	2075785400	15376188.15	88025743	80523079.5	11	124933378	16838	293	2068239302	7058837.21	29908815	32899579.09	23	97569473	1	158	7546098	47760.11	289838	363834.03	7	833261	1	615054589:419203225:419230284:614751204	40.54	599547966	293	2068239302	7058837.21	158	135
GCA_964194185.1	mRhiHip2	Rhinolophus hipposideros	723	2171328640	3003220.8	88364482	81458100.95	11	127722468	1000	2350	2171003240	923831.17	2014157	2440157.72	336	12290712	1000	1627	325400	200	200	200	814	200	200	641656522:440946693:445063742:643336283	40.81	689692849	2350	2171003240	923831.17	1627	723
GCA_043728145.1	mRhiTri1	Rhinolophus trifoliatus	126	2232422560	17717639.37	184920896	153549886.4	6	220842049	14106	523	2232259940	4268183.44	11115074	15643304.65	54	55373560	14106	397	162620	409.62	500	447.05	163	500	240	662318685:453337520:454252734:662351001	40.66	732564932	523	2232259940	4268183.44	397	126
GCA_043880425.1	mRhiYon1	Rhinolophus yonghoiseni	1486	2323192134	1563386.36	181652838	160958335.8	6	257792783	2048	1682	2323115974	1381162.89	28095277	32812094.83	26	99922004	2048	196	76160	388.57	500	431.18	77	500	240	677578251:485369988:484005167:676162568	41.73	830808761	1682	2323115974	1381162.89	196	1486
GCA_043728065.1	mRhiAff1	Rhinolophus affinis	2194	2302456897	1049433.41	85365043	75590628.95	12	121013437	16962	2231	2302442557	1032022.66	65534120	55814198.11	14	110858912	16962	37	14340	387.57	500	430.38	15	500	240	674872239:478464315:474848100:674257903	41.4	806537852	2231	2302442557	1032022.66	37	2194
GCA_043748575.1	mRhiPer1	Rhinolophus perniger lanosus	66	2185535924	33114180.67	154900566	156591971.3	6	232970026	12249	129	2185514824	16941975.38	53323821	55726838.3	15	113602117	12249	63	21100	334.92	500	381.71	22	500	240	647115735:443485230:446526776:648387083	40.72	690464147	129	2185514824	16941975.38	63	66
GCA_014176215.1	mRouAeg1	Rousettus aegyptiacus	30	1893618717	63120623.9	113811795	124101239.6	7	185846147	16645	272	1866944222	6863765.52	21999313	27744097.49	25	80973667	16645	242	26674495	110225.19	386342	685594.01	16	2159662	13	559878735:373930060:373689283:559446144	40.05	491035753	272	1866944222	6863765.52	242	30
GCA_031876335.1	mHipLar1	Hipposideros larvatus	69	2338923724	33897445.28	185549907	159907928.6	6	231003163	1619	188	2338890320	12440905.96	34562834	38504197.01	23	94634578	217	119	33404	280.71	500	355.94	34	500	13	683188980:482464911:489247698:683988731	41.55	816532962	188	2338890320	12440905.96	119	69
GCA_043880285.1	mDorCyc1	Doryrhina cyclops	66	2390604663	36221282.77	154073572	166510416.2	6	238799895	5170	400	2390465483	5976163.71	14255823	17536875.68	49	55627024	5170	334	139180	416.71	500	452.03	140	500	240	698398934:496474911:496973170:698618468	41.56	852733902	400	2390465483	5976163.71	334	66
GCA_043727835.1	mAseSto1	Aselliscus stoliczkanus	75	2268696503	30249286.71	162130651	157449005.2	7	211037740	16750	162	2268667635	14004121.2	61181192	61619066.98	14	106140467	1	87	28868	331.82	500	387.75	29	500	40	666029896:468742196:468730320:665165223	41.32	747897776	162	2268667635	14004121.2	87	75
GCA_043880545.1	mRhiMic1	Rhinopoma microphyllum	106	2564586454	24194211.83	146810189	141987624.1	7	247261581	15268	258	2564523392	9940013.15	32895649	36794876.29	25	89025634	15268	152	63062	414.88	500	452.2	64	500	42	737411280:543999670:545014486:738097956	42.46	1040712762	258	2564523392	9940013.15	152	106
GCA_043880595.1	mMegSpa1	Megaderma spasma	419	2124740378	5070979.42	120949103	130170704.7	7	244117117	2177	1285	2080266234	1618884.23	22627155	25679021.72	28	73915687	4	866	44474144	51355.82	318869	378605.17	46	1495257	1	604853527:435807793:435341238:604263676	41.88	636038425	1285	2080266234	1618884.23	866	419
GCA_902655055.2	mLutLut1	Lutra lutra	44	2438458878	55419519.95	149004807	149463114.5	7	223449203	15217	229	2438368607	10647897.85	30403456	38225509.15	23	97449666	15217	185	90271	487.95	500	495.8	91	500	33	711516459:506984798:507228881:712638469	41.59	824666273	229	2438368607	10647897.85	185	44
GCA_009829155.1	mMusErm1	Mustela erminea	94	2445217281	26012949.8	130149454	127565170.2	8	220353689	1292	293	2423733305	8272127.32	36329944	48508854.7	19	150520205	785	199	21483976	107959.68	370179	763455.73	15	3113081	13	708049663:503598798:503819444:708265400	41.56	803373986	293	2423733305	8272127.32	199	94
GCA_030435805.1	mMusLut2	Mustela lutreola	26	2586285479	99472518.42	154078643	165290537.5	7	290104894	16552	65	2586277679	39788887.37	83356672	90759971.64	11	171611272	16552	39	7800	200	200	200	20	200	200	752023851:541577946:540764239:751911643	41.85	931263626	65	2586277679	39788887.37	39	26
GCA_964662115.1	mMusNiv2	Mustela nivalis vulgaris	3180	3437873602	1081092.33	115392379	100849903.9	11	215721019	1000	6118	3437285986	561831.64	1161649	1459165.56	874	6318960	1000	2938	587616	200.01	200	200.01	1469	216	200	970991594:749875683:746719790:969698919	43.54	1687695579	6118	3437285986	561831.64	2938	3180
GCA_964106545.1	mNeoVis2	Neogale vison	435	2697147479	6200339.03	221119109	203744413.8	6	325660011	1000	3392	2696556079	794975.26	1439238	1784770.83	568	8136319	1000	2957	591400	200	200	200	1479	200	200	776993560:571140182:571969167:776453170	42.39	1013068347	3392	2696556079	794975.26	2957	435
GCA_963455335.1	mMarMar1	Martes martes	477	2484650161	5208910.19	146289188	143543651.7	7	217416870	1000	2727	2484200161	910964.49	1599794	1861628.45	493	8401958	1000	2250	450000	200	200	200	1125	200	200	716216450:526053600:526766153:715163958	42.38	848812639	2727	2484200161	910964.49	2250	477
GCA_922984935.2	mMelMel1	Meles meles	538	2738694574	5090510.36	132955750	128316900.9	8	216965501	16570	639	2738670774	4285869.76	75210923	80733866.81	12	210729441	16570	101	23800	235.64	200	275.63	42	500	200	788220353:581848078:581588395:787013948	42.48	1027353557	639	2738670774	4285869.76	101	538
GCA_905319855.2	mCanLor1	Canis lupus orion	82	2447463909	29847120.84	65778685	69157978.76	15	124665963	16690	248	2447418109	9868621.41	34375412	35140027.02	25	81873012	16690	166	45800	275.9	500	418.78	46	500	100	716373599:508081016:507378076:715585418	41.49	833869944	248	2447418109	9868621.41	166	82
GCA_011100685.1	mCanFam4	Canis lupus familiaris	2198	2482000080	1129208.41	64299765	65728117.55	15	124992030	13084	2783	2481941580	891822.34	14840767	16125395.85	57	56930620	13084	585	58500	100	100	100	293	100	100	725519965:515050823:514961767:726409025	41.5	834164823	2783	2481941580	891822.34	585	2198
GCA_048164855.1	mCanLup2	Canis lupus baileyi	250	2495606587	9982426.35	65569260	69017026.44	15	125236116	4299	417	2495576687	5984596.37	31962680	32169896.58	28	93831034	4299	167	29900	179.04	200	188.29	75	200	100	729286792:519007036:518145069:729137790	41.56	857679421	417	2495576687	5984596.37	167	250
GCA_964106825.2	mVulVul1	Vulpes vulpes	461	2411727275	5231512.53	139235879	141597924.9	8	200869998	2000	2306	2411358275	1045688.76	2040520	2429818.08	373	10967384	2000	1845	369000	200	200	200	923	200	200	707472983:498329145:498469695:707086452	41.34	776394283	2306	2411358275	1045688.76	1845	461
GCA_040955705.1	mLycPic1	Lycaon pictus	76	2384012108	31368580.37	64477381	69275046.69	14	125541836	1000	167	2384003008	14275467.11	39426608	42841293.63	21	118147063	1000	91	9100	100	100	100	46	100	100	698960023:492297429:492211355:700534201	41.3	787642211	167	2384003008	14275467.11	91	76
GCA_009762305.2	mZalCal1	Zalophus californianus	47	2409685310	51269900.21	147124152	148471914	7	216121386	6074	232	2391147534	10306670.41	31618759	36884994.79	24	88945600	382	185	18537776	100204.19	770694	675946.21	10	1132708	5	700647353:494989984:494836143:700674054	41.4	800288063	232	2391147534	10306670.41	185	47
GCA_964656455.1	mHalGry1	Halichoerus grypus	171	2400078677	14035547.82	156124300	162587921.7	7	216553034	13020	1301	2399852677	1844621.58	3750431	4455163.74	198	16884657	13020	1130	226000	200	200	200	565	200	200	701844249:498812160:498645424:700550844	41.56	809833826	1301	2399852677	1844621.58	1130	171
GCA_007474595.2	mLynCan1	Lynx canadensis	55	2407827299	43778678.16	147275701	150205022.8	7	240012660	17044	897	2405047953	2681212.88	7503561	9449521.31	94	34360538	20	842	2779346	3300.89	84440	152393.84	8	378177	1	700409006:501192096:501753800:701693051	41.7	810347934	897	2405047953	2681212.88	842	55
GCA_028018385.1	mNeoNeb1	Neofelis nebulosa	34	2468361932	72598880.35	150204169	151529177	7	243997075	16839	215	2466998080	11474409.67	51579577	56951881.14	16	151393616	16839	181	1363852	7535.09	95575	177140.42	3	327273	13	717746672:515348575:515660079:718242754	41.79	834068756	215	2466998080	11474409.67	181	34
GCA_046562885.1	mPanOnc1	Panthera onca	115	2303345105	20029087.87	148304554	150938718.8	7	241924008	15670	255	2303317105	9032616.1	45599555	56303178.29	16	180867076	15670	140	28000	200	200	200	70	200	200	671997522:479743022:479852637:671723924	41.66	758678373	255	2303317105	9032616.1	140	115
GCA_030020395.1	mManPen7	Manis pentadactyla	662	2840181150	4290303.85	149551276	150668813.4	8	237121291	7494	1045	2833618130	2711596.3	25547713	41768625.88	27	152504290	7494	383	6563020	17135.82	1137493	1028605.35	2	2228952	13	834702290:583484831:580409541:835021468	41.07	1092871065	1045	2833618130	2711596.3	383	662
GCA_024139225.1	mSunEtr1	Suncus etruscus	148	2471683639	16700565.13	131952995	130872588.6	8	208244741	2499	1158	2461039567	2125250.06	5042816	7348256.62	133	28387302	152	1010	10644072	10538.69	233732	321163.73	12	905386	1	740484722:489946878:489677322:740930645	39.81	1131165115	1158	2461039567	2125250.06	1010	148
GCA_027595985.1	mSorAra2	Sorex araneus	66	2406010873	36454710.2	374364821	289681800.6	3	452700413	9918	1493	2393066909	1602857.94	4024507	4866749.59	182	19703282	9918	1427	12943964	9070.75	302828	480105.32	9	1386908	13	679087110:517464447:517284515:679230837	43.24	982940389	1493	2393066909	1602857.94	1427	66
GCA_964194135.1	mTalEur1	Talpa europaea	464	2061000977	4441812.45	136888642	124547777.5	7	158759103	1000	1520	2060789777	1355782.75	3421604	4172908.71	183	17531302	1000	1056	211200	200	200	200	528	200	200	596354209:433639769:433615212:597180587	42.08	679613934	1520	2060789777	1355782.75	1056	464
GCA_950295315.1	mEriEur2.1	Erinaceus europaeus	1175	2720701264	2315490.44	126757761	124239036.7	9	210889723	1000	4935	2719949264	551154.87	999919	1227898.29	818	5852943	1000	3760	752000	200	200	200	1880	200	200	788681332:571176832:571247902:788843198	42	1463928689	4935	2719949264	551154.87	3760	1175
GCA_011100635.1	mTriVul1	Trichosurus vulpecula	212	3359347793	15845980.16	442560073	388198369.3	4	568656204	551	2008	3340651330	1663670.98	4314688	6059199.91	218	35916348	120	1796	18696463	10410.06	169642	281769.1	31	982440	7	1010059692:659436229:659516820:1011638589	39.48	1343610007	2008	3340651330	1663670.98	1796	212
GCA_028372415.2	mMacEug1	Macropus eugenii	273	3447481802	12628138.47	489668034	506400686.5	3	762225844	3187	788	3440931105	4366663.84	15255043	21215459.86	60	64234404	3187	515	6550697	12719.8	195680	204946.5	11	619111	13	1054554908:665922745:666655913:1053797539	38.73	1341669404	788	3440931105	4366663.84	515	273
GCA_003287225.2	phaCin_HiC	Phascolarctos cinereus	1246	3192631935	2562304.92	428240489	435983112.6	3	730425699	353	1915	3192565134	1667135.84	11399805	13575750.57	87	40558015	353	669	66801	99.85	100	100	335	100	1	972951161:623402338:623395108:972816527	39.05	1235179243	1915	3192565134	1667135.84	669	1246
GCA_037893015.1	mMacLag1	Macrotis lagotis	609	3655732635	6002845.05	343853051	513540259.6	3	934355481	17457	5040	3643208723	722858.87	1223998	1591981.77	869	6903487	14832	4431	12523912	2826.43	9380	9333.76	486	25872	1	1141187072:680386027:680506772:1141128852	37.35	1569468363	5040	3643208723	722858.87	4431	609
GCA_048593235.1	mSmiCra1	Sminthopsis crassicaudata	7	3239981553	462854507.6	656909261	579191568.2	3	757456671	89927176	1915	3239677604	1691737.65	4228802	7104916.6	189	43543530	6820	1908	303949	159.3	529	858.94	129	2783	1	1034577737:585139649:585143197:1034817021	36.12	1411056439	1915	3239677604	1691737.65	1908	7
GCA_048593225.1	mSarHar1	Sarcophilus harrisii	7	3244907618	463558231.1	645083750	573581989.1	3	746173912	99543713	1521	3228493122	2122612.18	4514036	5951426.77	204	26331191	1	1514	16414496	10841.81	60535	58445.41	106	99990	82	1027962971:584862170:582987799:1032680182	36.17	1344951940	1521	3228493122	2122612.18	1514	7
GCA_048593285.1	mDasMac1	Dasyurus maculatus	6	3043210118	507201686.3	622380813	571347349.2	3	724078969	255383608	157	3042293817	19377667.62	93424779	141954804	8	323117170	13866	151	916301	6068.22	55779	52262.44	6	90455	100	971970201:548899361:548553215:972871040	36.07	1253492908	157	3042293817	19377667.62	151	6
GCA_048126345.1	mNotTyp1	Notoryctes typhlops	693	3845140558	5548543.37	356873583	470783177.6	4	761411215	3000	889	3844731014	4324781.79	88902510	102283971	13	247048763	570	196	409544	2089.51	25927	25744.39	6	41201	20	1195689989:726727007:726583173:1195730845	37.8	1791140733	889	3844731014	4324781.79	196	693
GCA_019393635.1	mDroGli1	Dromiciops gliroides	18	3303217110	183512061.7	670775900	590598967.3	3	764011478	6360	278	3300287221	11871536.77	38230856	45537882.14	27	112829539	162	260	2929889	11268.8	405104	339816.53	3	592959	12	1004595986:645325927:645464897:1004900411	39.11	1394484762	278	3300287221	11871536.77	260	18
GCA_027887165.1	mMonDom1	Monodelphis domestica	14	3586183679	256155977.1	538302405	484874280.9	3	760810273	17106	2269	3554276362	1566450.58	3910714	5416071.68	244	23709148	118	2255	31907317	14149.59	67741	184097.39	110	1593800	13	1102455547:673807590:673994292:1104018933	37.92	1531897160	2269	3554276362	1566450.58	2255	14
GCA_004115215.4	mOrnAna1	Ornithorhynchus anatinus	322	1859281749	5774166.92	83338043	97782050.93	7	186506016	11224	837	1844123631	2203254.04	15146802	18596688.19	36	68365665	1	515	15158118	29433.24	580424	680892.4	8	1622067	1	496779009:425428469:425358566:496557587	46.14	896301225	837	1844123631	2203254.04	515	322
GCA_015852505.1	mTacAcu1	Tachyglossus aculeatus	311	2213020595	7115821.85	63379719	83494539.82	10	176423766	1121	835	2182203212	2613417.02	19859057	21551889.69	36	62484488	23	524	30817383	58811.8	457174	626957.23	20	1644374	3	596851234:494184587:494413610:596753781	45.3	1217436987	835	2182203212	2613417.02	524	311
GCA_048771995.1	bTaeGut1	Taeniopygia guttata	42	1141165377	27170604.21	72089520	71340967.44	6	152518735	16855	51	1140849811	22369604.14	65033001	67243339.69	6	152518735	1	9	315566	35062.89	100080	95580.21	2	100085	25	326897380:243405061:243494325:327053045	42.68	255810588	51	1140849811	22369604.14	9	42
GCA_046129695.1	bLonStr1	Lonchura striata domestica	161	1207550942	7500316.41	73424396	70680590.77	6	157315129	29343	337	1207519742	3583144.64	29140630	39053508.84	11	112323262	15116	176	31200	177.27	200	187.18	78	200	100	342374227:261345501:261083641:342716373	43.26	270467331	337	1207519742	3583144.64	176	161
GCA_026979565.1	bVidCha1	Vidua chalybeata	178	1080457469	6069985.78	72553174	72893197.86	6	153566144	1354	636	1080291938	1698572.23	15819291	21529198.4	21	95478434	1354	458	165531	361.42	500	423.01	166	500	200	312078901:227991961:228167960:312053116	42.23	215421388	636	1080291938	1698572.23	458	178
GCA_027477595.1	bHaeMex1	Haemorhous mexicanus	183	1148216196	6274405.44	77212160	76680938.88	6	159305015	15589	478	1137009051	2378680.02	16787335	19595837.8	22	51821050	13869	295	11207145	37990.32	2958724	3441886.67	2	5348635	13	324270211:243888040:243981526:324869274	42.91	257781337	478	1137009051	2378680.02	295	183
GCA_963513975.1	bFriCoe1	Fringilla coelebs	460	1209243761	2628790.78	73246393	67255234.74	6	153465205	1000	1033	1209129161	1170502.58	3733973	4637349.29	94	17176682	1000	573	114600	200	200	200	287	200	200	338460822:266528223:266234420:337905696	44.06	330854683	1033	1209129161	1170502.58	573	460
GCA_028018845.1	bMelGeo1	Melospiza georgiana	40	1162015399	29050384.98	74254230	73057434.15	6	155044423	1086347	276	1160782308	4205733	10446106	11153873.65	36	29976604	51213	236	1233091	5224.96	48716	57504.03	7	135291	13	330557900:250269928:249768120:330186360	43.08	272551342	276	1160782308	4205733	236	40
GCA_035770615.1	bMelMel2	Melospiza melodia	354	1541261971	4353847.38	77460261	77453454.5	7	174870981	16779	653	1540182873	2358626.15	19453098	23404144.36	23	76059538	16779	299	1079098	3609.02	582952	338645.63	1	582952	13	424501972:346711440:345806608:423162853	44.96	588155241	653	1540182873	2358626.15	299	354
