Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Complete_BUSCO,Single_BUSCO,Duplicated_BUSCO,Fragmented_BUSCO,Missing_BUSCO,STOP_BUSCO,Frameshift_BUSCO,Complete_Compleasm,Single_Compleasm,Duplicated_Compleasm,Retrocopy_Compleasm,Fragmented_Compleasm,Missing_Compleasm,Frameshift_Compleasm,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content,# soft-masked bases,# segments,Total segment length,Average segment length,# gaps,# paths,Technology,Extended lineage,Assembly tech,Complete_BUSCO_log10p1,Single_BUSCO_log10p1,Duplicated_BUSCO_log10p1,Fragmented_BUSCO_log10p1,Missing_BUSCO_log10p1,STOP_BUSCO_log10p1,Frameshift_BUSCO_log10p1,Complete_Compleasm_log10p1,Single_Compleasm_log10p1,Duplicated_Compleasm_log10p1,Retrocopy_Compleasm_log10p1,Fragmented_Compleasm_log10p1,Missing_Compleasm_log10p1,Frameshift_Compleasm_log10p1,# scaffolds_log10p1,Total scaffold length_log10p1,Average scaffold length_log10p1,Scaffold N50_log10p1,Scaffold auN_log10p1,Scaffold L50_log10p1,Largest scaffold_log10p1,Smallest scaffold_log10p1,# contigs_log10p1,Total contig length_log10p1,Average contig length_log10p1,Contig N50_log10p1,Contig auN_log10p1,Contig L50_log10p1,Largest contig_log10p1,Smallest contig_log10p1,# gaps in scaffolds_log10p1,Total gap length in scaffolds_log10p1,Average gap length in scaffolds_log10p1,Gap N50 in scaffolds_log10p1,Gap auN in scaffolds_log10p1,Gap L50 in scaffolds_log10p1,Largest gap in scaffolds_log10p1,Smallest gap in scaffolds_log10p1,Base composition (A:C:G:T)_log10p1,GC content_log10p1,# soft-masked bases_log10p1,# segments_log10p1,Total segment length_log10p1,Average segment length_log10p1,# gaps_log10p1,# paths_log10p1
GCA_963082525.1,birds,41,493,40,10494,9718,3453,20879,9,22,10,2,7,0,0,1,21,1,9,0,0,963082525,1,31,40,22.5,55,77.5,50,3373,3365,8,4,13,217,571,3380,3376,4,0,5,5,72,143,1183271950,8274629.02,78184682,97633922.66,5,214152265,1000,652,1183170150,1814678.14,4840756,5848016.38,75,18893325,1000,509,101800,200,200,200,255,200,200,,42.27,260999424,652,1183170150,1814678.14,509,143,HiFi,Birds,HiFi,3.528145078,3.527114112,0.954242509,0.698970004,1.146128036,2.338456494,2.757396029,3.529045171,3.528531061,0.698970004,0,0.77815125,0.77815125,1.86332286,2.158362492,9.07308457,6.917748584,7.89312168,7.989600743,0.77815125,8.330722674,3.000434077,2.814913181,9.073047205,6.258799847,6.684913282,6.767008655,1.880813592,7.276308418,3.000434077,2.707570176,5.007752044,2.303196057,2.303196057,2.303196057,2.408239965,2.303196057,2.303196057,,1.636186895,8.416639551,2.814913181,9.073047205,6.258799847,2.707570176,2.158362492
GCA_963513975.1,birds,41,566,26,7634.27,7965,1931,10799,8,10,23,0,8,0,0,0,10,1,22,0,0,963513975,1,18,40,20,25,45,32.5,3365,3350,15,6,19,182,551,3371,3362,7,2,7,12,56,460,1209243761,2628790.78,73246393,67255234.74,6,153465205,1000,1033,1209129161,1170502.58,3733973,4637349.29,94,17176682,1000,573,114600,200,200,200,287,200,200,,44.06,330854683,1033,1209129161,1170502.58,573,460,HiFi,Birds,HiFi,3.527114112,3.525174428,1.204119983,0.84509804,1.301029996,2.26245109,2.741939078,3.527887566,3.526726867,0.903089987,0.477121255,0.903089987,1.113943352,1.755874856,2.663700925,9.082513856,6.419756188,7.864786249,7.827726099,0.84509804,8.186009927,3.000434077,3.014520539,9.082472696,6.068372746,6.57217129,6.666269902,1.977723605,7.234939301,3.000434077,2.758911892,5.059188407,2.303196057,2.303196057,2.303196057,2.459392488,2.303196057,2.303196057,,1.653791187,8.519637287,3.014520539,9.082472696,6.068372746,2.758911892,2.663700925
GCA_964059595.1,birds,41,448,38,11161.9,11602,944,18997,8,22,11,0,7,0,1,2,20,2,9,0,0,964059595,1,30,40,20,55,75,47.5,3381,3373,8,3,6,153,486,3384,3377,6,1,5,1,58,538,1190938797,2213640.89,66356865,66434064.17,7,130642613,1000,992,1190848172,1200451.79,4272793,5064850.94,85,14664558,1000,454,90625,199.61,200,199.95,227,200,25,,42.07,288601965,992,1190848172,1200451.79,454,538,HiFi,Birds,HiFi,3.529173603,3.528145078,0.954242509,0.602059991,0.84509804,2.187520721,2.687528961,3.529558673,3.528659645,0.84509804,0.301029996,0.77815125,0.301029996,1.770852012,2.731588765,9.075889444,6.345107365,7.821885866,7.822390828,0.903089987,8.116084862,3.000434077,2.996949248,9.075856395,6.079345085,6.630711955,6.704566754,1.934498451,7.166269007,3.000434077,2.658011397,4.957252812,2.302352578,2.303196057,2.303088011,2.357934847,2.303196057,1.414973348,,1.634174872,8.460299285,2.996949248,9.075856395,6.079345085,2.658011397,2.731588765
GCA_964106855.1,birds,41,588,35,4895.94,3236,918,48536,9,19,13,0,7,0,2,0,19,3,10,0,0,964106855,1,28,40,22.5,47.5,70,43.75,3380,3374,6,1,9,201,478,3389,3384,5,0,0,1,50,754,1352282554,1793478.19,83713171,94995268.1,5,224747368,1000,1347,1352163954,1003833.67,3365458,4133859.33,116,12994772,1000,593,118600,200,200,200,297,200,200,,44.24,354040152,1347,1352163954,1003833.67,593,754,HiFi,Birds,HiFi,3.529045171,3.528273777,0.84509804,0.301029996,1,2.305351369,2.680335513,3.530199698,3.529558673,0.77815125,0,0,0.301029996,1.707570176,2.877946952,9.131067445,6.253696342,7.922793798,7.977701977,0.77815125,8.351694616,3.000434077,3.129689892,9.131029355,6.001662191,6.527044304,6.616355799,2.068185862,7.113768697,3.000434077,2.773786445,5.074088351,2.303196057,2.303196057,2.303196057,2.474216264,2.303196057,2.303196057,,1.655522596,8.54905252,3.129689892,9.131029355,6.001662191,2.773786445,2.877946952
GCA_964289735.1,birds,41,1266,12,1597.5,1355,623,3884,2,9,30,0,1,0,1,0,9,1,29,0,0,964289735,1,11,40,5,22.5,27.5,15,3315,3271,44,17,58,271,595,3327,3295,32,0,14,49,56,657,1321027743,2010696.72,85546101,98501438.08,5,224165678,1000,1926,1320773943,685760.1,2122569,2607929.18,181,10023229,1000,1269,253800,200,200,200,635,200,200,,43.15,322166808,1926,1320773943,685760.1,1269,657,HiFi,Birds,HiFI,3.520614522,3.514813295,1.653212514,1.255272505,1.770852012,2.434568904,2.77524626,3.522183318,3.517987203,1.51851394,0,1.176091259,1.698970004,1.755874856,2.818225894,9.120911939,6.303346785,7.932200225,7.993442575,0.77815125,8.35056912,3.000434077,3.284881715,9.120828493,5.836172846,6.326862022,6.41629596,2.260071388,7.001007696,3.000434077,3.103803721,5.404493329,2.303196057,2.303196057,2.303196057,2.803457116,2.303196057,2.303196057,,1.644930708,8.508080796,3.284881715,9.120828493,5.836172846,3.103803721,2.818225894
GCA_965140915.1,birds,41,672,27,4797.15,3612,516,28963,5,19,15,0,1,0,4,0,19,1,14,0,0,965140915,1,24,40,12.5,47.5,60,33.75,3369,3346,23,4,17,149,448,3377,3360,15,2,5,8,57,1269,1224533240,964959.21,77037309,89348361.18,5,207581217,1000,1962,1224394640,624054.35,3182246,3668181.41,121,15900537,1000,693,138600,200,200,200,347,200,200,,42.15,316487482,1962,1224394640,624054.35,693,1269,HiFi,Birds,HiFi,3.527629901,3.524655712,1.380211242,0.698970004,1.255272505,2.176091259,2.652246341,3.528659645,3.526468512,1.204119983,0.477121255,0.77815125,0.954242509,1.763427994,3.103803721,9.087970579,5.984509406,7.88670111,7.951086596,0.77815125,8.317188056,3.000434077,3.2929203,9.08792142,5.795223111,6.502733886,6.564450924,2.086359831,7.201411819,3.000434077,2.84135947,5.141766364,2.303196057,2.303196057,2.303196057,2.541579244,2.303196057,2.303196057,,1.6349808,8.500356538,3.2929203,9.08792142,5.795223111,2.84135947,3.103803721
GCA_965231335.1,birds,41,521,17,4696.71,4564,1075,8909,1,15,25,0,1,0,0,2,13,4,21,0,0,965231335,1,16,40,2.5,37.5,40,21.25,3381,3374,7,3,6,164,401,3388,3385,3,0,1,1,63,614,1311899232,2136643.7,78989891,88986364.97,5,213660330,1000,1145,1311793032,1145670.77,3892771,4779284.61,100,14639950,1000,531,106200,200,200,200,266,200,200,,44.13,382702747,1145,1311793032,1145670.77,531,614,HiFi,Birds,HiFi,3.529173603,3.528273777,0.903089987,0.602059991,0.84509804,2.217483944,2.604226053,3.530071569,3.529686954,0.602059991,0,0.301029996,0.301029996,1.806179974,2.788875116,9.117900478,6.32973231,7.89757152,7.949323471,0.77815125,8.329723897,3.000434077,3.059184618,9.11786532,6.059060212,6.590258968,6.679362985,2.004321374,7.165539623,3.000434077,2.725911632,5.026128606,2.303196057,2.303196057,2.303196057,2.426511261,2.303196057,2.303196057,,1.654465334,8.582861581,3.059184618,9.11786532,6.059060212,2.725911632,2.788875116
GCF_009819885.2,birds,41,371,1,12463,12463,12463,12463,0,1,40,0,0,0,0,0,1,0,40,0,0,9819885,2,1,41,0,2.43902439,2.43902439,1.219512195,3371,3275,96,4,15,170,563,3377,3295,81,1,4,9,96,161,1131635256,7028790.41,68462074,76842924.91,6,165774257,848,590,1118731561,1896155.19,4908935,5921096.54,70,22235935,248,429,12903695,30078.54,930933,1123456.48,5,2188653,13,,42.48,242713263,590,1118731561,1896155.19,429,161,CLR,Birds,CLR I,3.527887566,3.515343893,1.986771734,0.698970004,1.204119983,2.23299611,2.751279104,3.528659645,3.517987203,1.913813852,0.301029996,0.698970004,1,1.986771734,2.209515015,9.05370647,6.846880655,7.835450058,7.885603893,0.84509804,8.219517093,2.92890769,2.771587481,9.048725891,6.277874108,6.69098737,6.772402215,1.851258349,7.347055415,2.396199347,2.633468456,7.110714123,4.47827119,5.968918892,6.05055664,0.77815125,6.34017711,1.146128036,,1.638289535,8.385093511,2.771587481,9.048725891,6.277874108,2.633468456,2.209515015
GCF_016700215.2,birds,41,379,17,11647.6,12851,732,17329,2,12,25,0,1,0,1,1,11,2,23,0,0,16700215,2,14,41,4.87804878,29.26829268,34.14634146,20.73170732,3376,3367,9,2,12,127,339,3381,3376,5,0,1,8,70,276,1050511239,3806200.14,90563926,94417096.23,4,196242913,1219,685,1046014928,1527029.09,17744542,22025181.83,18,61366121,1214,409,4496311,10993.43,211853,297184.96,6,734148,2,,42.16,212403645,685,1046014928,1527029.09,409,276,CLR,Birds,CLR I,3.528531061,3.527372083,1,0.477121255,1.113943352,2.10720997,2.531478917,3.529173603,3.528531061,0.77815125,0,0.301029996,0.954242509,1.851258349,2.442479769,9.021400704,6.580491735,7.956955246,7.975050644,0.698970004,8.292793984,3.086359831,2.836324116,9.019537883,6.183847595,7.249064819,7.342919522,1.278753601,7.787928679,3.084576278,2.612783857,6.652856439,4.041172719,5.326036668,5.473028288,0.84509804,5.865784212,0.477121255,,1.635081436,8.327161967,2.836324116,9.019537883,6.183847595,2.612783857,2.442479769
GCF_017976375.1,birds,41,219,26,6093.54,4511,1641,17221,1,23,16,0,1,0,0,4,19,0,16,0,0,17976375,1,24,41,2.43902439,56.09756098,58.53658537,31.70731707,3372,3363,9,7,11,156,383,3374,3368,6,0,8,8,66,151,1180156273,7815604.46,78325852,95634178.15,5,209323829,587,447,1175233958,2629158.74,20797936,26549072.29,17,86316243,127,296,4922315,16629.44,271792,380610.29,6,946057,13,,42.18,247611882,447,1175233958,2629158.74,296,151,CLR,Birds,CLR II,3.528016341,3.526855987,1,0.903089987,1.079181246,2.195899652,2.584331224,3.528273777,3.527501011,0.84509804,0,0.954242509,0.954242509,1.826074803,2.181843588,9.07193952,6.892962628,7.893905133,7.980613135,0.77815125,8.320818672,2.769377326,2.651278014,9.070124332,6.419816973,7.318020258,7.424049366,1.255272505,7.936092534,2.10720997,2.472756449,6.692169491,4.22090374,5.434238267,5.580481667,0.84509804,5.975917763,1.146128036,,1.635282638,8.393771483,2.651278014,9.070124332,6.419816973,2.472756449,2.181843588
GCF_023343835.1,birds,41,186,29,9724.14,7805,707,40954,5,19,17,1,4,0,0,3,16,4,13,0,0,23343835,1,24,40,12.5,47.5,60,36.25,3374,3364,10,2,14,138,407,3377,3373,3,1,3,10,48,164,1026755127,6260701.99,71229700,83244651.91,5,194907523,2258,374,1026683190,2745142.22,17905263,20319023.51,19,46643962,171,210,71937,342.56,500,430.38,72,500,23,,41.57,216333297,374,1026683190,2745142.22,210,164,HiFi,Birds,HiFi,3.528273777,3.526985069,1.041392685,0.477121255,1.176091259,2.1430148,2.610660163,3.528659645,3.528145078,0.602059991,0.301029996,0.602059991,1.041392685,1.69019608,2.217483944,9.011466881,6.796623101,7.852661121,7.920356347,0.77815125,8.289828604,3.353916231,2.574031268,9.011436452,6.438565007,7.252980729,7.307902854,1.301029996,7.668795442,2.235528447,2.324282455,4.85695836,2.536002594,2.699837726,2.634860006,1.86332286,2.699837726,1.380211242,,1.62910365,8.335123371,2.574031268,9.011436452,6.438565007,2.324282455,2.217483944
GCF_026979565.1,birds,41,418,8,8191.62,7138,5077,18080,1,7,33,0,0,0,1,0,7,1,32,0,0,26979565,1,8,41,2.43902439,17.07317073,19.51219512,9.756097561,3371,3357,14,4,15,198,574,3374,3366,8,0,6,10,64,178,1080457469,6069985.78,72553174,72893197.86,6,153566144,1354,636,1080291938,1698572.23,15819291,21529198.4,21,95478434,1354,458,165531,361.42,500,423.01,166,500,200,,42.23,215421388,636,1080291938,1698572.23,458,178,HiFi,Birds,HiFi,3.527887566,3.526080692,1.176091259,0.698970004,1.204119983,2.298853076,2.759667845,3.528273777,3.527243116,0.954242509,0,0.84509804,1.041392685,1.812913357,2.252853031,9.033607676,6.783187745,7.860656422,7.862687009,0.84509804,8.186295482,3.131939295,2.804139432,9.033541135,6.230084275,7.199187043,7.33302788,1.342422681,7.979905292,3.131939295,2.661812686,5.218881962,2.559212156,2.699837726,2.627376099,2.222716471,2.699837726,2.303196057,,1.635785236,8.333288822,2.804139432,9.033541135,6.230084275,2.661812686,2.252853031
GCF_028389875.1,birds,41,126,33,6337.67,5456,1067,18180,2,29,10,0,2,0,0,8,21,1,9,0,0,28389875,1,31,40,5,72.5,77.5,41.25,3387,3382,5,1,2,197,447,3387,3384,3,0,1,2,43,179,1269000025,7089385.61,82467789,95574427.41,5,216936262,22241,307,1267548352,4128821.99,19335416,24997530.6,19,86083197,22241,128,1451673,11341.2,1186329,980381.35,1,1186329,13,,42.45,279845800,307,1267548352,4128821.99,128,179,HiFi,Birds,HiFi,3.529943402,3.529301998,0.77815125,0.301029996,0.477121255,2.29666519,2.651278014,3.529943402,3.529558673,0.602059991,0,0.301029996,0.477121255,1.643452676,2.255272505,9.103461631,6.850608661,7.916284356,7.980341709,0.77815125,8.336332155,4.347173836,2.488550717,9.102964535,6.615826264,7.286353543,7.397897126,1.301029996,7.934918393,4.347173836,2.11058971,6.161869099,4.054697301,6.074205513,5.991395484,0.301029996,6.074205513,1.146128036,,1.637989781,8.446918795,2.488550717,9.102964535,6.615826264,2.11058971,2.255272505
GCF_028858705.1,birds,41,174,8,9532.5,2815,951,27310,2,4,35,0,2,0,0,0,4,5,30,0,0,28858705,1,6,40,5,10,15,10,3380,3360,20,2,8,197,456,3388,3371,17,0,0,2,51,929,1257821324,1353951.91,82903739,98160559.04,5,219868338,1626,1191,1253145146,1052178.96,28324902,42453265.93,11,111907498,1626,262,4676178,17848.01,149653,229315.74,8,543171,8,,43.07,270201976,1191,1253145146,1052178.96,262,929,CLR,Birds,CLR II,3.529045171,3.526468512,1.322219295,0.477121255,0.954242509,2.29666519,2.6599162,3.530071569,3.527887566,1.255272505,0,0,0.477121255,1.716003344,2.968482949,9.099618953,6.13160356,7.918574123,7.991937028,0.77815125,8.342162696,3.211387553,3.076276255,9.098001377,6.022090026,7.452168431,7.627911116,1.079181246,8.04885919,3.211387553,2.419955748,6.669891127,4.251614133,5.175088329,5.360435759,0.954242509,5.734937374,0.954242509,,1.644143051,8.431688522,3.076276255,9.098001377,6.022090026,2.419955748,2.968482949
GCF_036013475.1,birds,41,224,31,10024.2,10170,3196,19316,6,22,13,0,2,1,3,7,15,5,8,0,0,36013475,1,28,41,14.63414634,53.65853659,68.29268293,37.80487805,3364,3345,19,2,24,229,555,3370,3357,13,0,5,15,49,870,1325583311,1523658.98,68980706,87006066.82,6,212386202,12895,1119,1325536411,1184572.31,14042120,16440336.99,28,54502558,12895,249,46900,188.35,200,193.82,118,200,100,,42,386731470,1119,1325536411,1184572.31,249,870,HiFi,Birds,HiFi,3.526985069,3.524525937,1.301029996,0.477121255,1.397940009,2.361727836,2.745074792,3.527758753,3.526080692,1.146128036,0,0.77815125,1.204119983,1.698970004,2.940018155,9.122407028,6.182888061,7.838727641,7.939549541,0.84509804,8.327126301,4.110455024,3.049218023,9.122391662,6.073561943,7.147432711,7.215910742,1.462397998,7.736416894,4.110455024,2.397940009,4.671182103,2.277265309,2.303196057,2.289633539,2.075546961,2.303196057,2.004321374,,1.633468456,8.587409515,3.049218023,9.122391662,6.073561943,2.397940009,2.940018155
GCF_036370855.1,birds,41,127,34,4726.44,4836,955,10820,6,22,13,1,5,0,0,5,17,4,9,0,0,36370855,1,28,41,14.63414634,53.65853659,68.29268293,41.46341463,3372,3226,146,1,17,155,394,3376,3235,141,0,1,13,41,272,1468722890,5399716.51,77929039,92730933.41,6,219529801,6032,401,1468697090,3662586.26,24239989,25049545.18,21,61638557,6032,129,25800,200,200,200,65,200,200,,43.79,342473445,401,1468697090,3662586.26,129,272,HiFi,Birds,HiFi,3.528016341,3.508798965,2.167317335,0.301029996,1.255272505,2.193124598,2.596597096,3.528531061,3.510008513,2.152288344,0,0.301029996,1.146128036,1.62324929,2.436162647,9.166939864,6.73237104,7.891699326,7.967224636,0.84509804,8.341493486,3.780533325,2.604226053,9.166932235,6.56378798,7.384532436,7.398799862,1.342422681,7.78985247,3.780533325,2.113943352,4.411636539,2.303196057,2.303196057,2.303196057,1.819543936,2.303196057,2.303196057,,1.651181062,8.534626904,2.604226053,9.166932235,6.56378798,2.113943352,2.436162647
GCF_040182565.1,birds,41,42,29,4659.17,4498,777,10908,12,11,18,5,1,4,2,8,3,15,3,0,0,40182565,1,23,40,30,27.5,57.5,36.25,3375,3360,15,2,13,135,387,3382,3372,9,1,1,7,64,74,1215337776,16423483.46,81007908,95284720.32,5,212801650,89760,116,1215331076,10476992.03,39655246,78559451.32,7,212801650,1,42,6700,159.52,200,174.63,17,200,100,,43.07,289593755,116,1215331076,10476992.03,42,74,HiFi,Birds,HiFi,3.528402438,3.526468512,1.204119983,0.477121255,1.146128036,2.133538908,2.588831726,3.529301998,3.528016341,1,0.301029996,0.301029996,0.903089987,1.812913357,1.875061263,9.084696998,7.215465304,7.908527422,7.979023268,0.77815125,8.327974993,4.953087682,2.068185862,9.084694603,7.020236655,7.598300659,7.895198447,0.903089987,8.327974993,0.301029996,1.633468456,3.826139618,2.205529151,2.303196057,2.244598701,1.255272505,2.303196057,2.004321374,,1.644143051,8.461789194,2.068185862,9.084694603,7.020236655,1.633468456,1.875061263
GCF_040807025.1,birds,41,114,45,6571.07,6386,531,14271,13,20,8,0,12,0,1,6,14,1,7,0,0,40807025,1,33,41,31.70731707,48.7804878,80.48780488,54.87804878,3378,3250,128,4,8,154,413,3383,3263,120,0,2,5,42,263,1452035523,5521047.62,84633522,100252246.4,6,225574516,12520,379,1452012323,3831167.08,28829471,39494261.04,14,123769770,12520,116,23200,200,200,200,58,200,200,,44.34,341757603,379,1452012323,3831167.08,116,263,HiFi,Birds,HiFi,3.528788192,3.512016969,2.11058971,0.698970004,0.954242509,2.190331698,2.617000341,3.529430354,3.51375015,2.08278537,0,0.477121255,0.77815125,1.633468456,2.421603927,9.161977241,6.742021572,7.927542419,8.001094117,0.84509804,8.353290036,4.097639016,2.579783597,9.161970302,6.583331206,7.459836689,7.596534003,1.176091259,8.092614587,4.097639016,2.068185862,4.365506704,2.303196057,2.303196057,2.303196057,1.770852012,2.303196057,2.303196057,,1.656481516,8.533718186,2.579783597,9.161970302,6.583331206,2.068185862,2.421603927
GCA_964263955.1,fish,41,5519,14,7864.43,8868,1267,13390,7,5,28,0,1,0,6,0,5,1,27,0,0,964263955,1,12,40,17.5,12.5,30,17.5,3317,1276,2041,36,37,209,502,3322,1468,1845,9,33,34,119,11150,2842862595,254965.26,47422375,41075708.25,24,95564469,1000,17145,2841663595,165742.99,476628,841604.4,1337,4941238,1000,5995,1199000,200,200,200,2998,200,200,,43.87,1715794762,17145,2841663595,165742.99,5995,11150,HiFi,Ray-finned fishes,HiFi,3.520876382,3.106190897,3.310055738,1.568201724,1.579783597,2.322219295,2.701567985,3.521530341,3.167021796,3.266231697,1,1.531478917,1.544068044,2.079181246,4.047313816,9.453755869,5.406482714,7.67598331,7.613585071,1.397940009,7.980296456,3.000434077,4.234162819,9.453572664,5.21943779,5.678180463,5.925108513,3.126456113,6.693835861,3.000434077,3.777861624,6.078819545,2.303196057,2.303196057,2.303196057,3.476976466,2.303196057,2.303196057,,1.65195607,9.234465338,4.234162819,9.453572664,5.21943779,3.777861624,4.047313816
GCA_031878675.1,mammals,41,570,28,10851.9,10205,1994,27648,7,18,16,0,3,0,4,0,18,2,14,0,0,31878675,1,25,40,17.5,45,62.5,35,3352,3213,139,8,30,165,446,3355,3278,36,41,9,26,69,630,2025650949,3215318.97,64418693,61020005.29,12,106217240,11058,1405,2025496124,1441634.25,5921125,7357958.97,102,26541333,11058,775,154825,199.77,200,199.97,388,200,25,,41.12,761219183,1405,2025496124,1441634.25,775,630,HiFi,Mammals,HiFi,3.525433553,3.507045872,2.146128036,0.954242509,1.491361694,2.220108088,2.650307523,3.525821952,3.515741417,1.568201724,1.62324929,1,1.431363764,1.84509804,2.800029359,9.306564612,6.507224198,7.809011916,7.785472248,1.113943352,8.026195016,4.043715858,3.147985321,9.306531417,6.158855393,6.772404303,6.866757421,2.012837225,7.423922747,4.043715858,2.889861721,5.189843894,2.302698819,2.303196057,2.303131233,2.589949601,2.303196057,1.414973348,,1.624488363,8.881509725,3.147985321,9.306531417,6.158855393,2.889861721,2.800029359
GCA_905319855.2,mammals,41,166,41,4604.56,4449,739,10525,10,21,10,0,10,0,0,5,16,2,8,0,0,905319855,2,31,40,25,52.5,77.5,51.25,3377,3251,126,3,10,236,696,3386,3312,11,63,3,1,68,82,2447463909,29847120.84,65778685,69157978.76,15,124665963,16690,248,2447418109,9868621.41,34375412,35140027.02,25,81873012,16690,166,45800,275.9,500,418.78,46,500,100,,41.49,833869944,248,2447418109,9868621.41,166,82,HiFi,Mammals,HiFi,3.528659645,3.512150537,2.103803721,0.602059991,1.041392685,2.374748346,2.843232778,3.529815197,3.520221436,1.079181246,1.806179974,0.602059991,0.301029996,1.838849091,1.919078092,9.388716296,7.474902458,7.818085194,7.839842298,1.204119983,8.0957479,4.222482357,2.396199347,9.388708169,6.994256532,7.536247925,7.545802103,1.414973348,7.913140773,4.222482357,2.222716471,4.66087496,2.442322956,2.699837726,2.623021743,1.672097858,2.699837726,2.004321374,,1.628286731,8.921098321,2.396199347,9.388708169,6.994256532,2.222716471,1.919078092
GCA_036010785.1,birds,40,333,45,6864.91,6746,3090,13945,9,27,4,1,8,0,0,4,23,1,3,0,0,36010785,1,36,39,23.07692308,69.23076923,92.30769231,57.69230769,3375,3354,21,4,11,165,564,3381,3367,9,5,3,6,61,501,1397856043,2790131.82,67791739,66271045.46,7,160940846,12483,866,1395800460,1611778.82,8735889,11083285.73,43,34862124,12483,365,2055583,5631.73,142612,284909.01,3,514615,13,,44.04,467577851,866,1395800460,1611778.82,365,501,HiFi,Birds,HiFi,3.528402438,3.525692525,1.342422681,0.698970004,1.079181246,2.220108088,2.752048448,3.529173603,3.527372083,1,0.77815125,0.602059991,0.84509804,1.792391689,2.700703717,9.145462449,6.445624878,7.831176781,7.821323828,0.903089987,8.206666283,4.09635376,2.938019097,9.144823337,6.207305714,6.941307157,7.044668569,1.643452676,7.542353856,4.09635376,2.563481085,6.312935229,3.750718934,5.154159116,5.454707708,0.602059991,5.711483285,1.146128036,,1.653598382,8.669853932,2.938019097,9.144823337,6.207305714,2.563481085,2.700703717
GCA_039906565.1,birds,40,403,28,5486.39,4798,1051,10838,1,26,13,0,1,0,0,0,26,1,12,0,0,39906565,1,27,39,2.564102564,66.66666667,69.23076923,35.8974359,3359,3335,24,6,25,183,590,3368,3348,19,1,7,15,51,592,1167497019,1972123.34,46898397,53958616.88,8,109817262,3436,1031,1167409219,1132307.68,9620782,9566864.86,41,21716903,3436,439,87800,200,200,200,220,200,200,,42.52,245127213,1031,1167409219,1132307.68,439,592,HiFi,Birds,HiFi,3.526339277,3.523226042,1.397940009,0.84509804,1.414973348,2.264817823,2.771587481,3.527501011,3.524915148,1.301029996,0.301029996,0.903089987,1.204119983,1.716003344,2.773054693,9.067255781,6.294934293,7.671158008,7.732060817,0.954242509,8.040670615,3.536179532,3.013679697,9.067223119,6.053964837,6.983210419,6.980769685,1.62324929,7.336797912,3.536179532,2.643452676,4.943499462,2.303196057,2.303196057,2.303196057,2.344392274,2.303196057,2.303196057,,1.638688887,8.389391529,3.013679697,9.067223119,6.053964837,2.643452676,2.773054693
GCA_046129655.1,birds,40,364,34,6693.06,6433,3453,12173,11,15,14,0,5,0,6,1,14,2,12,0,0,46129655,1,26,39,28.20512821,38.46153846,66.66666667,43.58974359,3370,3347,23,4,16,202,531,3377,3363,12,2,4,9,58,316,1227176437,3883469.74,76484566,71855304.56,6,158851056,16898,709,1227102137,1730750.55,6932545,11041000.38,40,34546023,7818,393,74300,189.06,200,194.21,186,200,100,,43.65,297386266,709,1227102137,1730750.55,393,316,HiFi,Birds,HiFi,3.527758753,3.524785449,1.380211242,0.698970004,1.230448921,2.307496038,2.725911632,3.528659645,3.526855987,1.113943352,0.477121255,0.698970004,1,1.770852012,2.501059262,9.088907008,6.589220037,7.883573812,7.856458841,0.84509804,8.200990109,4.227861006,2.851258349,9.088880713,6.238234729,6.84089276,7.043008464,1.612783857,7.53839807,3.893151213,2.595496222,4.870994659,2.278890725,2.303196057,2.290502061,2.271841607,2.303196057,2.004321374,,1.649821463,8.473320909,2.851258349,9.088880713,6.238234729,2.595496222,2.501059262
