Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Technology,Extended lineage,Assembly tech,mean_telo_N50,median_telo_N50
GCA_045345405.1,birds,36,164,34,5533.88,4449,743,14046,9,17,9,2,5,0,2,4,13,2,7,0,0,45345405,1,26,36,25,47.22222222,72.22222222,47.22222222,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_963264785.1,birds,36,349,23,7527.7,7962,2670,10678,2,19,15,0,2,0,0,0,19,1,14,0,0,963264785,1,21,35,5.714285714,54.28571429,60,32.85714286,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964199755.1,birds,36,485,19,3845.05,3101,1380,9880,5,10,21,0,4,0,1,0,10,2,19,0,0,964199755,1,15,35,14.28571429,28.57142857,42.85714286,27.14285714,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964417175.1,birds,36,556,23,3229.13,2861,865,7767,5,14,17,0,4,0,1,0,14,1,16,0,0,964417175,1,19,35,14.28571429,40,54.28571429,32.85714286,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_009650955.1,birds,36,268,5,7224.6,5862,1033,19399,1,2,32,0,0,0,1,0,2,2,30,0,0,9650955,1,3,36,2.777777778,5.555555556,8.333333333,6.944444444,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_009819655.1,birds,36,373,1,3706,3706,3706,3706,0,0,35,0,0,0,0,0,0,3,32,0,0,9819655,1,0,35,0,0,0,1.428571429,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_028018845.1,birds,36,236,35,6074.66,6435,1309,10576,7,21,8,0,7,0,0,0,21,0,8,0,0,28018845,1,28,36,19.44444444,58.33333333,77.77777778,48.61111111,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_963921805.1,birds,36,486,36,7361.69,7062,2036,14614,12,13,11,0,11,0,1,0,13,2,9,0,0,963921805,1,25,36,33.33333333,36.11111111,69.44444444,50,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_015852505.1,mammals,36,223,33,14956,15884,2100,27331,9,18,9,0,6,0,3,1,17,2,7,0,0,15852505,1,27,36,25,50,75,45.83333333,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCF_044704955.1,sharks,36,5538,13,14536.5,6290,3111,49983,2,9,24,0,1,0,1,0,9,2,22,0,0,44704955,1,11,35,5.714285714,25.71428571,31.42857143,18.57142857,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_020800305.1,birds,35,278,29,7712.79,6854,1190,24372,6,17,12,1,5,0,0,1,16,1,11,0,0,20800305,1,23,34,17.64705882,50,67.64705882,42.64705882,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_028858755.1,birds,35,100,36,11419,11136,1290,21378,13,10,11,4,8,0,1,1,9,6,5,0,0,28858755,1,23,35,37.14285714,28.57142857,65.71428571,51.42857143,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_030463565.1,birds,35,375,40,6973.95,6426,862,14811,14,13,8,0,13,0,1,0,13,1,7,0,0,30463565,1,27,34,41.17647059,38.23529412,79.41176471,58.82352941,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_031468815.1,birds,35,242,24,8615.12,8737,2279,19289,2,18,14,0,2,0,0,0,18,2,12,0,0,31468815,1,20,34,5.882352941,52.94117647,58.82352941,35.29411765,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_039720435.1,birds,35,187,12,12530.4,12833,5001,18360,0,12,23,0,0,0,0,5,7,5,18,0,0,39720435,1,12,34,0,35.29411765,35.29411765,17.64705882,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_964188355.1,birds,35,469,4,12485.2,14119,5827,15876,0,4,31,0,0,0,0,0,4,2,29,0,0,964188355,1,4,34,0,11.76470588,11.76470588,5.882352941,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_965231255.1,birds,35,920,14,2956.07,2531,718,6297,1,12,22,0,1,0,0,0,12,1,21,0,0,965231255,1,13,34,2.941176471,35.29411765,38.23529412,20.58823529,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_009829145.1,birds,35,177,5,1635.4,1417,785,2768,1,4,30,0,0,0,1,0,4,6,24,0,0,9829145,1,5,35,2.857142857,11.42857143,14.28571429,7.142857143,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_947461875.1,birds,35,422,24,12528.2,12748,1005,21005,7,11,17,0,6,0,1,0,11,1,16,0,0,947461875,1,18,34,20.58823529,32.35294118,52.94117647,35.29411765,HiFi,Birds,HiFiasm solo,8283.715384615385,7730.0
GCA_048126745.1,mammals,35,82,25,12064.4,9148,3587,49994,10,14,11,0,1,4,5,1,13,2,9,0,0,48126745,1,24,34,29.41176471,41.17647059,70.58823529,36.76470588,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_963924665.1,mammals,35,2018,31,9040.32,7756,2556,30815,5,24,6,0,2,0,3,0,24,1,5,0,0,963924665,1,29,34,14.70588235,70.58823529,85.29411765,45.58823529,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_030435755.1,mammals,35,430,21,5220.38,3562,1574,17001,1,19,15,0,1,0,0,0,19,0,15,0,0,30435755,1,20,35,2.857142857,54.28571429,57.14285714,30,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_964213995.1,sharks,35,3509,21,6788.24,7052,1681,15389,7,8,20,0,6,0,1,0,8,1,19,0,0,964213995,1,15,34,20.58823529,23.52941176,44.11764706,30.88235294,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCF_030144855.1,sharks,35,1495,43,7997.23,7879,504,18236,20,11,4,0,12,0,8,0,11,1,3,0,0,30144855,1,31,35,57.14285714,31.42857143,88.57142857,61.42857143,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_009764595.1,birds,34,1332,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,34,0,0,9764595,1,0,34,0,0,0,0,CLR,Birds,CLR I,,
GCA_964273445.1,birds,34,673,28,2872.18,2540,975,5907,3,22,9,0,2,0,1,0,22,2,7,0,0,964273445,1,25,33,9.090909091,66.66666667,75.75757576,42.42424242,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_036426135.1,mammals,34,108,36,6013.33,5880,1118,11886,10,19,5,0,7,0,3,5,14,3,2,0,0,36426135,1,29,33,30.3030303,57.57575758,87.87878788,54.54545455,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_030445035.2,mammals,34,752,28,10640,11013,3028,14925,8,15,11,0,5,0,3,0,15,1,10,0,0,30445035,2,23,33,24.24242424,45.45454545,69.6969697,42.42424242,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_910594005.1,mammals,34,38,20,8158.55,6461,1079,19999,2,18,14,0,0,0,2,8,10,8,6,0,0,910594005,1,20,34,5.882352941,52.94117647,58.82352941,29.41176471,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_033958435.1,reptiles,34,12,56,14207,13610,837,27252,23,11,0,16,5,0,2,10,1,0,0,0,0,33958435,1,34,34,67.64705882,32.35294118,100,82.35294118,HiFi,Turtles,HiFi,13941.3125,14035.5
GCA_009769465.1,birds,33,300,1,9174,9174,9174,9174,0,1,32,0,0,0,0,0,1,1,31,0,0,9769465,1,1,33,0,3.03030303,3.03030303,1.515151515,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_009819775.1,birds,33,237,2,3290,3290,2244,4336,0,2,31,0,0,0,0,0,2,1,30,0,0,9819775,1,2,33,0,6.060606061,6.060606061,3.03030303,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_039878825.1,birds,33,315,10,9359.5,7502,889,25023,1,6,24,0,1,0,0,1,5,6,18,0,0,39878825,1,7,33,3.03030303,18.18181818,21.21212121,15.15151515,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_903797595.2,birds,33,435,3,1257,833,596,2342,0,2,30,0,0,0,0,0,2,0,30,0,0,903797595,2,2,33,0,6.060606061,6.060606061,4.545454545,CLR,Birds,CLR II,8283.715384615385,7730.0
GCA_963932225.1,birds,33,522,14,6197.21,5426,3292,10397,3,10,20,0,1,0,2,0,10,1,19,0,0,963932225,1,13,32,9.375,31.25,40.625,21.875,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_003957555.1,birds,33,380,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0,0,3957555,1,0,33,0,0,0,0,CLR,Birds,CLR I,,
GCF_028858725.1,birds,33,148,36,6630.53,5957,1965,13256,13,13,7,1,7,0,5,1,12,2,5,0,0,28858725,1,26,32,40.625,40.625,81.25,56.25,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_035770615.1,birds,33,238,37,10678.5,11141,1008,16674,9,19,4,0,8,0,1,5,14,2,2,0,0,35770615,1,28,33,27.27272727,57.57575758,84.84848485,56.06060606,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036169615.1,birds,33,431,37,7034.54,5967,1011,17902,12,16,5,0,8,0,4,0,16,0,5,0,0,36169615,1,28,33,36.36363636,48.48484848,84.84848485,56.06060606,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_036250125.1,birds,33,313,13,7120.46,7267,2798,9927,1,11,21,0,1,0,0,2,9,0,21,0,0,36250125,1,12,33,3.03030303,33.33333333,36.36363636,19.6969697,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_963924245.1,birds,33,458,20,7594.6,6729,2650,12814,7,6,20,0,7,0,0,0,6,1,19,0,0,963924245,1,13,33,21.21212121,18.18181818,39.39393939,30.3030303,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_011762505.3,mammals,33,1259,30,15321.7,15762,7240,21502,6,24,3,0,0,0,6,0,24,1,2,0,0,11762505,3,30,32,18.75,75,93.75,46.875,CLR,Mammals,CLR,10073.07643312102,9936.0
GCF_903995435.1,mammals,33,872,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,33,0,0,903995435,1,0,33,0,0,0,0,CLR,Mammals,CLR,,
GCF_030028105.1,sharks,33,1598,14,4677.07,2847,501,14749,6,7,20,0,1,0,5,0,7,0,20,0,0,30028105,1,13,33,18.18181818,21.21212121,39.39393939,21.21212121,HiFi,Cartilaginous fishes,HiFi,17665.75,12986.5
GCA_017639555.1,birds,32,195,4,5440.25,5074,4360,7252,0,4,28,0,0,0,0,0,4,3,25,0,0,17639555,1,4,31,0,12.90322581,12.90322581,6.451612903,CLR,Birds,CLR II,8283.715384615385,7730.0
GCA_020745705.1,birds,32,203,2,1288,1288,916,1660,0,1,30,0,0,0,0,0,1,5,25,0,0,20745705,1,1,31,0,3.225806452,3.225806452,3.225806452,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_012275295.1,birds,32,225,4,19285.5,19339,13902,24561,1,3,28,0,0,0,1,1,2,2,26,0,0,12275295,1,4,32,3.125,9.375,12.5,6.25,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_020740795.1,birds,32,220,4,2713,2460,2099,3833,0,4,28,0,0,0,0,0,4,5,23,0,0,20740795,1,4,31,0,12.90322581,12.90322581,6.451612903,CLR,Birds,CLR,8283.715384615385,7730.0
GCF_028500815.1,birds,32,263,19,5913.11,6006,729,11209,5,9,18,0,5,0,0,1,8,0,18,0,0,28500815,1,14,32,15.625,28.125,43.75,29.6875,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_043728065.1,mammals,32,36,27,9597.93,8834,613,19503,2,24,6,0,1,0,1,12,12,3,3,0,0,43728065,1,26,31,6.451612903,77.41935484,83.87096774,43.5483871,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_004115215.2,mammals,32,420,10,4626.7,4357,555,10866,0,10,22,0,0,0,0,0,10,2,20,0,0,4115215,2,10,31,0,32.25806452,32.25806452,16.12903226,CLR,Mammals,CLR II,10073.07643312102,9936.0
GCF_902713615.1,sharks,32,6752,8,1731.12,1391,655,3721,3,4,25,0,0,0,3,0,4,1,24,0,0,902713615,1,7,31,9.677419355,12.90322581,22.58064516,12.90322581,CLR,Cartilaginous fishes,CLR II,17665.75,12986.5
GCA_901699155.2,birds,31,783,1,814,814,814,814,0,0,30,0,0,0,0,0,0,1,29,0,0,901699155,2,0,31,0,0,0,1.612903226,CLR,Birds,CLR II,8283.715384615385,7730.0
GCF_029582105.1,birds,31,469,1,1694,1694,1694,1694,0,0,30,0,0,0,0,0,0,0,30,0,0,29582105,1,0,30,0,0,0,1.666666667,CLR,Birds,CLR,8283.715384615385,7730.0
GCA_964638095.1,fish,31,2833,8,8196.5,9005,643,13236,2,6,23,0,0,0,2,0,6,1,22,0,0,964638095,1,8,30,6.666666667,20,26.66666667,13.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_041735815.1,mammals,31,0,62,11896.1,11748,2994,26639,31,0,0,31,0,0,0,0,0,0,0,0,0,41735815,1,31,31,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_034619465.1,birds,30,254,34,9381.74,8299,3746,40983,10,14,6,0,10,0,0,0,14,1,5,0,0,34619465,1,24,29,34.48275862,48.27586207,82.75862069,58.62068966,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_026419915.1,birds,30,316,37,6168.3,3713,533,21948,13,11,6,0,13,0,0,0,11,0,6,0,0,26419915,1,24,30,43.33333333,36.66666667,80,61.66666667,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_946808225.1,fish,30,795,17,5897.82,6534,2197,10432,6,6,18,0,5,0,1,0,6,1,17,0,0,946808225,1,12,29,20.68965517,20.68965517,41.37931034,29.31034483,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_015220715.1,fish,30,302,9,4557.44,5164,2574,6382,1,8,21,0,0,0,1,0,8,1,20,0,0,15220715,1,9,30,3.333333333,26.66666667,30,15,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_027358585.1,fish,30,236,32,6906.97,7713,870,10332,10,13,7,0,9,0,1,0,13,0,7,0,0,27358585,1,23,30,33.33333333,43.33333333,76.66666667,53.33333333,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_037176945.1,fish,30,154,26,6389.35,5676,2432,13242,5,16,9,0,5,0,0,3,13,1,8,0,0,37176945,1,21,30,16.66666667,53.33333333,70,43.33333333,HiFi,Lobe-finned fishes,HiFi,11687.0,11687.0
GCA_964194185.1,mammals,30,1622,22,2041.36,1360,538,6558,7,11,12,0,4,0,3,0,11,1,11,0,0,964194185,1,18,29,24.13793103,37.93103448,62.06896552,37.93103448,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_003369695.1,mammals,30,272,2,2221.5,2221,1655,2788,0,2,28,0,0,0,0,0,2,0,28,0,0,3369695,1,2,30,0,6.666666667,6.666666667,3.333333333,CLR,Mammals,RSII,10073.07643312102,9936.0
GCF_015220235.1,mammals,30,1056,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,15220235,1,0,29,0,0,0,0,CLR,Mammals,CLR I,,
GCF_020740605.2,primates,30,202,16,10179.3,8765,1784,28396,4,9,17,0,3,1,0,0,9,1,16,0,0,20740605,2,13,29,13.79310345,31.03448276,44.82758621,27.5862069,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_040954835.1,fish,29,95,38,6924.11,7051,1108,11718,12,14,3,0,11,0,1,3,11,2,1,0,0,40954835,1,26,29,41.37931034,48.27586207,89.65517241,65.51724138,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_023851605.1,mammals,29,822,12,4894.17,4937,548,10961,2,7,19,0,2,0,0,0,7,1,18,0,0,23851605,1,9,28,7.142857143,25,32.14285714,21.42857143,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_046562895.1,mammals,29,294,37,14463.3,14690,3766,26100,12,15,2,0,10,0,2,0,15,0,2,0,0,46562895,1,27,29,41.37931034,51.72413793,93.10344828,63.79310345,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_014176215.1,mammals,29,242,1,1464,1464,1464,1464,0,1,28,0,0,0,0,0,1,9,19,0,0,14176215,1,1,0,,,,,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCF_024166365.1,mammals,29,125,30,10450.7,11215,1107,22568,5,20,4,0,5,0,0,0,20,0,4,0,0,24166365,1,25,29,17.24137931,68.96551724,86.20689655,51.72413793,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_030014295.1,mammals,29,160,24,9657.88,9695,1459,17088,5,15,9,0,4,1,0,0,15,0,9,0,0,30014295,1,20,29,17.24137931,51.72413793,68.96551724,41.37931034,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_042477335.2,mammals,29,3,56,16738.2,17010,3646,29380,28,0,1,25,3,0,0,0,0,1,0,0,0,42477335,2,28,28,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_965140295.1,reptiles,29,69,38,8981.53,8856,1128,18241,14,12,3,3,9,0,2,3,9,2,1,0,0,965140295,1,26,28,50,42.85714286,92.85714286,67.85714286,HiFi,Turtles,HiFiasm,13941.3125,14035.5
GCA_965152235.1,reptiles,29,125,37,13725.4,13538,1139,26816,13,11,5,1,12,0,0,5,6,2,3,0,0,965152235,1,24,28,46.42857143,39.28571429,85.71428571,66.07142857,HiFi,Turtles,,13941.3125,14035.5
GCA_965152275.1,reptiles,29,169,37,7688.22,6847,1113,21320,13,12,4,3,9,0,1,3,9,2,2,0,0,965152275,1,25,28,46.42857143,42.85714286,89.28571429,66.07142857,HiFi,Turtles,HiFiasm,13941.3125,14035.5
GCF_015237465.2,reptiles,29,277,17,5594.41,5110,513,10658,4,11,14,0,2,0,2,1,10,2,12,0,0,15237465,2,15,28,14.28571429,39.28571429,53.57142857,30.35714286,CLR,Turtles,CLR I,13941.3125,14035.5
GCA_009819605.1,birds,28,165,6,3014.83,2739,1227,5667,0,4,23,0,0,0,0,0,4,2,21,0,0,9819605,1,4,27,0,14.81481481,14.81481481,11.11111111,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_045345515.1,birds,28,150,34,5561.44,4932,776,17921,12,14,2,2,6,0,4,1,13,0,2,0,0,45345515,1,26,28,42.85714286,50,92.85714286,60.71428571,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_017639655.2,birds,28,267,1,10823,10823,10823,10823,0,1,27,0,0,0,0,0,1,3,24,0,0,17639655,2,1,27,0,3.703703704,3.703703704,1.851851852,CLR,Birds,CLR I,8283.715384615385,7730.0
GCF_900496995.4,birds,28,133,0,0,0,0,0,0,0,28,0,0,0,0,0,0,3,25,0,0,900496995,4,0,27,0,0,0,0,CLR,Birds,CLR,,
GCA_024256435.1,fish,28,21,11,4696.82,4882,2381,7182,1,9,18,0,1,0,0,5,4,11,7,0,0,24256435,1,10,28,3.571428571,32.14285714,35.71428571,19.64285714,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_038355195.1,fish,28,1894,21,6661.1,7178,2184,12813,5,12,11,0,4,0,1,0,12,0,11,0,0,38355195,1,17,28,17.85714286,42.85714286,60.71428571,37.5,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_040939525.1,fish,28,24438,9,10486,11496,655,27188,0,9,19,0,0,0,0,0,9,1,18,0,0,40939525,1,9,27,0,33.33333333,33.33333333,16.66666667,CLR,Lobe-finned fishes,,11687.0,11687.0
GCF_027579695.1,fish,28,334,29,1840.31,1926,726,2695,11,10,7,0,7,0,4,0,10,0,7,0,0,27579695,1,21,28,39.28571429,35.71428571,75,51.78571429,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_963692335.1,fish,28,2432,14,7480.71,7517,3230,13101,2,10,16,0,1,0,1,0,10,0,16,0,0,963692335,1,12,28,7.142857143,35.71428571,42.85714286,25,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_028571685.1,mammals,28,276,38,12437.1,12679,1163,27319,15,7,4,0,12,0,3,0,7,0,4,0,0,28571685,1,22,28,53.57142857,25,78.57142857,67.85714286,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_040805955.1,mammals,28,0,53,12182.1,12309,5377,21226,25,3,0,25,0,0,0,3,0,0,0,0,0,40805955,1,28,28,89.28571429,10.71428571,100,94.64285714,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_004115265.2,mammals,28,137,1,3061,3061,3061,3061,0,1,27,0,0,0,0,0,1,2,25,0,0,4115265,2,1,28,0,3.571428571,3.571428571,1.785714286,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCF_950005125.1,mammals,28,196,26,6595.27,7280,1955,11285,5,18,5,0,3,0,2,0,18,0,5,0,0,950005125,1,23,28,17.85714286,64.28571429,82.14285714,46.42857143,HiFi,Mammals,HiFi hifiasm,10073.07643312102,9936.0
GCA_965140235.1,reptiles,28,61,52,14181.6,12628,3150,30221,24,4,0,5,19,0,0,2,2,0,0,0,0,965140235,1,28,28,85.71428571,14.28571429,100,92.85714286,HiFi,Turtles,HiFiasm,13941.3125,14035.5
GCA_965140285.1,reptiles,28,217,35,12890.1,12232,2146,24350,13,11,4,1,10,0,2,1,10,0,4,0,0,965140285,1,24,28,46.42857143,39.28571429,85.71428571,62.5,HiFi,Turtles,HiFiasm,13941.3125,14035.5
GCF_009764565.3,reptiles,28,663,11,4041,2406,629,10800,2,7,19,0,2,0,0,0,7,0,19,0,0,9764565,3,9,28,7.142857143,25,32.14285714,19.64285714,CLR,Turtles,CLR I,13941.3125,14035.5
GCA_008658365.1,birds,27,197,0,0,0,0,0,0,0,27,0,0,0,0,0,0,2,25,0,0,8658365,1,0,26,0,0,0,0,CLR,Birds,CLR,,
GCA_020745775.1,birds,27,86,2,6568.5,6568,4820,8317,0,2,25,0,0,0,0,1,1,1,24,0,0,20745775,1,2,26,0,7.692307692,7.692307692,3.846153846,CLR,Birds,CLR II,8283.715384615385,7730.0
GCF_030014385.1,fish,27,198,30,6991.97,7107,890,10707,8,14,5,1,7,0,0,0,14,0,5,0,0,30014385,1,22,27,29.62962963,51.85185185,81.48148148,55.55555556,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_031878705.1,mammals,27,92,28,11878.5,11914,4379,20093,7,14,6,0,7,0,0,5,9,1,5,0,0,31878705,1,21,26,26.92307692,53.84615385,80.76923077,53.84615385,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_951640355.1,mammals,27,1420,24,8949.42,9820,1936,17402,5,14,8,0,5,0,0,0,14,1,7,0,0,951640355,1,19,26,19.23076923,53.84615385,73.07692308,46.15384615,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_028878055.3,primates,27,2,52,11762,11716,7049,18846,26,0,1,25,1,0,0,0,0,0,1,0,0,28878055,3,26,26,100,0,100,100,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_037157495.1,birds,26,162,14,9169.57,9681,1370,19916,2,12,12,0,0,0,2,4,8,3,9,0,0,37157495,1,14,26,7.692307692,46.15384615,53.84615385,26.92307692,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCA_038024135.1,fish,26,718,6,6230.67,7725,1261,10120,2,3,21,0,0,0,2,0,3,1,20,0,0,38024135,1,5,25,8,12,20,12,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_041902795.1,fish,26,18,45,7329.82,7198,1140,16691,20,5,1,13,7,0,0,3,2,1,0,0,0,41902795,1,25,26,76.92307692,19.23076923,96.15384615,86.53846154,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_944039275.1,fish,26,381,30,5327.33,5901,516,10808,8,14,4,0,8,0,0,0,14,1,3,0,0,944039275,1,22,25,32,56,88,60,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_947034865.1,fish,26,824,17,3598,3907,530,6969,1,16,9,0,0,0,1,0,16,1,8,0,0,947034865,1,17,25,4,64,68,34,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949152265.1,fish,26,880,31,6137.71,6013,634,14754,9,13,4,0,9,0,0,0,13,1,3,0,0,949152265,1,22,25,36,52,88,62,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949319135.1,fish,26,588,29,8342.28,9278,650,14012,9,12,5,0,8,0,1,0,12,1,4,0,0,949319135,1,21,25,36,48,84,58,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949357685.1,fish,26,1044,5,8071.8,8036,7291,8812,0,5,21,0,0,0,0,0,5,1,20,0,0,949357685,1,5,25,0,20,20,10,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_949987685.1,fish,26,933,18,3355.28,3910,564,7091,8,7,11,0,3,0,5,0,7,1,10,0,0,949987685,1,15,25,32,28,60,36,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_951802725.1,fish,26,470,29,7645.1,8149,894,17801,8,13,5,0,8,0,0,0,13,1,4,0,0,951802725,1,21,25,32,52,84,58,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963691815.1,fish,26,604,14,6018.86,5234,620,13379,1,7,15,0,0,0,1,0,7,1,14,0,0,963691815,1,8,25,4,28,32,28,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_963993115.1,fish,26,678,24,7986.04,8613,759,11063,5,14,7,0,5,0,0,0,14,1,6,0,0,963993115,1,19,25,20,56,76,48,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_964030765.1,fish,26,3005,8,8076,8861,510,13188,2,5,19,0,1,0,1,0,5,1,18,0,0,964030765,1,7,25,8,20,28,16,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_964197995.1,fish,26,832,24,5861.67,6490,1114,10717,7,11,8,0,6,0,1,0,11,1,7,0,0,964197995,1,18,25,28,44,72,48,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCA_965113295.1,fish,26,1196,8,6607.62,7062,3802,8849,1,6,19,0,1,0,0,0,6,1,18,0,0,965113295,1,7,25,4,24,28,16,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_011004845.1,fish,26,104,23,6480.96,6348,3824,10806,2,19,5,0,2,0,0,1,18,2,3,0,0,11004845,1,21,25,8,76,84,46,CLR,Ray-finned fishes,CLR II,6763.489795918367,6472.0
GCF_013368585.1,fish,26,61,6,7134.5,6301,542,14951,0,6,20,0,0,0,0,2,4,3,17,0,0,13368585,1,6,25,0,24,24,12,CLR,Ray-finned fishes,CLR I,6763.489795918367,6472.0
GCF_900964775.1,fish,26,134,0,0,0,0,0,0,0,26,0,0,0,0,0,0,1,25,0,0,900964775,1,0,25,0,0,0,0,CLR,Ray-finned fishes,CLR I,,
GCA_030848825.1,mammals,26,20,36,12225.2,12935,2381,30543,14,8,4,7,7,0,0,4,4,3,1,0,0,30848825,1,22,25,56,32,88,72,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCA_039880945.1,mammals,26,113,36,14352.1,14117,4086,23646,12,12,2,1,11,0,0,0,12,1,1,0,0,39880945,1,24,25,48,48,96,72,HiFi,Mammals,HiFi,10073.07643312102,9936.0
GCF_020740685.1,mammals,26,480,13,15922.3,2772,750,49995,2,9,15,0,2,0,0,0,9,1,14,0,0,20740685,1,11,25,8,36,44,26,CLR,Mammals,CLR II,10073.07643312102,9936.0
